FIPS,UI_Index,MI_Index,CI_Index,Total_Vaccinated,Vac_Index
1085,0,0,0,2288180,0
1085,0,0,0,2288180,0
1085,0,0,0,2288180,0
1085,0,0,0,2288180,0
1087,0,0,0,2288180,0
1087,0,0,0,2288180,0
1087,0,0,0,2288180,0
1087,0,0,0,2288180,0
1087,0,0,0,2288180,0
1087,0,0,0,2288180,0
1087,0,0,0,2288180,0
1087,0,0,0,2288180,0
1087,0,0,0,2288180,0
1087,0,0,0,2288180,0
1087,0,0,0,2288180,0
1087,0,0,0,2288180,0
1087,0,0,0,2288180,0
1087,0,0,0,2288180,0
1087,0,0,0,2288180,0
1089,1,1,0,2288180,0
1089,1,1,0,2288180,0
1089,1,1,0,2288180,0
1089,1,1,0,2288180,0
1089,1,1,0,2288180,0
1089,1,1,0,2288180,0
1089,1,1,0,2288180,0
1089,1,1,0,2288180,0
1089,1,1,0,2288180,0
1089,1,1,0,2288180,0
1089,1,1,0,2288180,0
1089,1,1,0,2288180,0
1089,1,1,0,2288180,0
1089,1,1,0,2288180,0
1089,1,1,0,2288180,0
1091,0,0,0,2288180,0
1091,0,0,0,2288180,0
1091,0,0,0,2288180,0
1091,0,0,0,2288180,0
1091,0,0,0,2288180,0
1091,0,0,0,2288180,0
1091,0,0,0,2288180,0
1091,0,0,0,2288180,0
1091,0,0,0,2288180,0
1091,0,0,0,2288180,0
1091,0,0,0,2288180,0
1091,0,0,0,2288180,0
1091,0,0,0,2288180,0
1091,0,0,0,2288180,0
1091,0,0,0,2288180,0
1093,1,0,0,2288180,0
1093,1,0,0,2288180,0
1093,1,0,0,2288180,0
1093,1,0,0,2288180,0
1093,1,0,0,2288180,0
1093,1,0,0,2288180,0
1093,1,0,0,2288180,0
1093,1,0,0,2288180,0
1093,1,0,0,2288180,0
1093,1,0,0,2288180,0
1093,1,0,0,2288180,0
1093,1,0,0,2288180,0
1093,1,0,0,2288180,0
1093,1,0,0,2288180,0
1093,1,0,0,2288180,0
1095,1,0,0,2288180,0
1095,1,0,0,2288180,0
1095,1,0,0,2288180,0
1095,1,0,0,2288180,0
1095,1,0,0,2288180,0
1095,1,0,0,2288180,0
1095,1,0,0,2288180,0
1095,1,0,0,2288180,0
1095,1,0,0,2288180,0
1095,1,0,0,2288180,0
1095,1,0,0,2288180,0
1095,1,0,0,2288180,0
1095,1,0,0,2288180,0
1095,1,0,0,2288180,0
1095,1,0,0,2288180,0
1097,0,0,0,2288180,0
1097,0,0,0,2288180,0
1097,0,0,0,2288180,0
1097,0,0,0,2288180,0
1097,0,0,0,2288180,0
1097,0,0,0,2288180,0
1097,0,0,0,2288180,0
1097,0,0,0,2288180,0
1097,0,0,0,2288180,0
1097,0,0,0,2288180,0
1097,0,0,0,2288180,0
1097,0,0,0,2288180,0
1097,0,0,0,2288180,0
1097,0,0,0,2288180,0
1097,0,0,0,2288180,0
1099,0,0,0,2288180,0
1099,0,0,0,2288180,0
1099,0,0,0,2288180,0
1099,0,0,0,2288180,0
1099,0,0,0,2288180,0
1099,0,0,0,2288180,0
1099,0,0,0,2288180,0
1099,0,0,0,2288180,0
1099,0,0,0,2288180,0
1099,0,0,0,2288180,0
1099,0,0,0,2288180,0
1099,0,0,0,2288180,0
1099,0,0,0,2288180,0
1099,0,0,0,2288180,0
1099,0,0,0,2288180,0
1101,0,1,0,2288180,0
1101,0,1,0,2288180,0
